Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
1991,Dec,Los Angeles County,Adj,Not Prelim,4475600,4080100,395500,8.8
1990,Jan,Los Angeles County,Adj,Not Prelim,4510500,4254200,256200,5.7
1990,Feb,Los Angeles County,Adj,Not Prelim,4520700,4264600,256200,5.7
1990,Mar,Los Angeles County,Adj,Not Prelim,4524900,4270600,254300,5.6
1990,Apr,Los Angeles County,Adj,Not Prelim,4522800,4270900,251900,5.6
1990,May,Los Angeles County,Adj,Not Prelim,4516200,4265700,250500,5.5
1990,Jun,Los Angeles County,Adj,Not Prelim,4506800,4255500,251300,5.6
1990,Jul,Los Angeles County,Adj,Not Prelim,4497500,4241800,255700,5.7
1990,Aug,Los Angeles County,Adj,Not Prelim,4488700,4226000,262800,5.9
1990,Sep,Los Angeles County,Adj,Not Prelim,4479200,4208200,271100,6.1
1990,Oct,Los Angeles County,Adj,Not Prelim,4469600,4189100,280500,6.3
1990,Nov,Los Angeles County,Adj,Not Prelim,4460600,4170600,290000,6.5
1990,Dec,Los Angeles County,Adj,Not Prelim,4453700,4154500,299100,6.7
